index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1734,/root/autodl-tmp/data/REDS/val_sharp/017/00000033.png,23.734167,0.633157,0.04445253,23.633283,0.625346,0.04486970
1735,/root/autodl-tmp/data/REDS/val_sharp/017/00000034.png,23.769052,0.635837,0.04406549,23.666031,0.628041,0.04448827
1736,/root/autodl-tmp/data/REDS/val_sharp/017/00000035.png,23.806643,0.637975,0.04387550,23.701450,0.630180,0.04429239
1737,/root/autodl-tmp/data/REDS/val_sharp/017/00000036.png,23.736897,0.636340,0.04424261,23.633594,0.628517,0.04465979
1738,/root/autodl-tmp/data/REDS/val_sharp/017/00000037.png,23.743626,0.635521,0.04423029,23.640412,0.627619,0.04464364
1739,/root/autodl-tmp/data/REDS/val_sharp/017/00000038.png,23.724438,0.636590,0.04424054,23.619599,0.628657,0.04467031
1740,/root/autodl-tmp/data/REDS/val_sharp/017/00000039.png,23.731320,0.637053,0.04424974,23.625968,0.629185,0.04467523
1741,/root/autodl-tmp/data/REDS/val_sharp/017/00000040.png,23.776502,0.637771,0.04405167,23.669464,0.629850,0.04448248
1742,/root/autodl-tmp/data/REDS/val_sharp/017/00000041.png,23.785925,0.637313,0.04402772,23.680986,0.629411,0.04444649
1743,/root/autodl-tmp/data/REDS/val_sharp/017/00000042.png,23.812508,0.639617,0.04379500,23.708819,0.631808,0.04421046
1744,/root/autodl-tmp/data/REDS/val_sharp/017/00000043.png,23.806168,0.640196,0.04383286,23.702926,0.632384,0.04424554
1745,/root/autodl-tmp/data/REDS/val_sharp/017/00000044.png,23.787404,0.639966,0.04390202,23.682569,0.632131,0.04431563
1746,/root/autodl-tmp/data/REDS/val_sharp/017/00000045.png,23.798509,0.640144,0.04382162,23.692889,0.632137,0.04424753
1747,/root/autodl-tmp/data/REDS/val_sharp/017/00000046.png,23.809489,0.640131,0.04378275,23.700561,0.632051,0.04421651
1748,/root/autodl-tmp/data/REDS/val_sharp/017/00000047.png,23.813362,0.640332,0.04374229,23.703972,0.632231,0.04418262
1749,/root/autodl-tmp/data/REDS/val_sharp/017/00000048.png,23.809615,0.639246,0.04382028,23.707315,0.631539,0.04422112
