epoch,step,loss,distill_loss,hr_loss,edge_loss,temporal_loss,teacher_psnr,student_psnr,seconds,steps_per_second
1,60,0.04644468,0.01808123,0.03828082,0.09456930,0.02572588,26.180092,24.825368,6.506,9.2224
1,61,0.05518083,0.02203768,0.04662911,0.11622949,0.02401607,24.548837,23.079824,6.553,9.3090
1,62,0.04063737,0.01624111,0.03310876,0.08599392,0.02121849,27.677995,25.890180,6.771,9.1565
1,63,0.04526134,0.01772720,0.03678880,0.09350485,0.02584363,25.970327,24.451399,6.847,9.2018
1,64,0.05553050,0.02287183,0.04207772,0.12187349,0.03480586,25.555024,23.654629,6.900,9.2749
1,65,0.04580557,0.01865470,0.03642866,0.09921284,0.02468653,26.722635,25.186864,6.946,9.3581
1,66,0.04405980,0.01746189,0.03619467,0.09310467,0.02266694,26.357875,24.647101,7.151,9.2293
1,67,0.04316015,0.01631932,0.03658639,0.08567565,0.02322125,26.445167,25.071120,7.222,9.2773
1,68,0.03980665,0.01544081,0.03247134,0.08165148,0.02308097,26.608961,25.327086,7.270,9.3539
1,69,0.04703461,0.02022868,0.03356239,0.10928629,0.03089959,27.257667,24.735781,7.313,9.4353
1,70,0.04869705,0.01990987,0.03866300,0.10648812,0.02586527,25.630218,23.956367,7.542,9.2819
1,71,0.06560366,0.02636939,0.05401288,0.14040789,0.03156443,23.355134,22.007285,7.613,9.3257
1,72,0.05780042,0.02362890,0.04404433,0.12546833,0.03652745,25.174024,23.369610,7.672,9.3843
1,73,0.04610801,0.01828863,0.03799899,0.09471975,0.02411701,26.099778,24.700592,7.724,9.4507
1,74,0.05367017,0.02338326,0.03997631,0.12514067,0.02903831,26.339636,24.203594,7.922,9.3414
1,75,0.05349883,0.02173599,0.04125480,0.11514022,0.03311172,26.265210,24.301417,7.995,9.3814
1,76,0.04062282,0.01615372,0.03238036,0.08583170,0.02368550,27.603517,26.200515,8.047,9.4451
1,77,0.04075821,0.01427932,0.03660101,0.07417195,0.02175885,26.430305,25.253367,8.097,9.5098
1,78,0.03766843,0.01540939,0.02897695,0.08286767,0.02261813,28.772385,26.404721,8.301,9.3966
1,79,0.03529521,0.01413502,0.02798833,0.07600950,0.02023568,29.245124,27.278219,8.378,9.4299
1,80,0.03753295,0.01554424,0.02880692,0.08401339,0.02163514,28.600775,26.617531,8.429,9.4909
1,81,0.04438550,0.01806583,0.03449720,0.09724294,0.02603261,27.659016,25.477344,8.480,9.5514
1,82,0.05014671,0.01869702,0.04409147,0.09865636,0.02342269,25.479535,23.970811,8.681,9.4460
1,83,0.05454178,0.02215447,0.04384008,0.11801153,0.02824453,25.546706,23.802084,8.773,9.4612
2,84,0.04575898,0.01859368,0.03873352,0.09800965,0.01811359,25.445895,24.078121,9.528,8.8158
2,85,0.03727824,0.01602049,0.02684486,0.08579697,0.02404583,29.193139,26.522479,9.583,8.8703
2,86,0.05230755,0.02267623,0.03884143,0.12186524,0.02908711,25.595453,23.619698,9.801,8.7742
2,87,0.05570173,0.02256465,0.04484049,0.11719751,0.02985164,24.170135,22.935705,9.845,8.8372
2,88,0.04654752,0.01965661,0.03449370,0.10412741,0.02922013,26.851951,24.768516,9.925,8.8668
2,89,0.05069318,0.02128026,0.03794368,0.11390985,0.03098099,26.079285,23.976113,9.967,8.9291
2,90,0.07310615,0.03018114,0.05903204,0.15782842,0.03545209,22.160852,20.829766,10.009,8.9915
2,91,0.06200617,0.02501258,0.04861688,0.13132389,0.03723899,23.623321,22.177297,10.234,8.8922
2,92,0.04681030,0.01785535,0.03967690,0.09366302,0.02442816,25.431538,24.277064,10.388,8.8564
2,93,0.05773468,0.02278354,0.04864629,0.11883847,0.02734057,24.425026,23.182638,10.439,8.9090
2,94,0.05155819,0.02107622,0.04163500,0.11176378,0.02559008,25.662063,23.901327,10.490,8.9613
2,95,0.05550282,0.02252783,0.04428945,0.11932570,0.03000060,25.346998,23.515593,10.652,8.9182
2,96,0.05235051,0.01985244,0.04498784,0.10364676,0.02621142,24.516537,23.412060,10.826,8.8673
2,97,0.05228979,0.02108692,0.04097837,0.11314558,0.03076594,25.567061,23.940200,10.874,8.9200
2,98,0.04534388,0.01745355,0.03720422,0.09109521,0.02669073,26.164168,24.849578,10.928,8.9679
2,99,0.04634847,0.01749209,0.03930651,0.09123226,0.02523083,25.765101,24.499382,11.067,8.9453
2,100,0.04491793,0.01859586,0.03377432,0.10062995,0.02799218,27.702390,25.416391,11.248,8.8902
2,101,0.03479974,0.01344862,0.02853367,0.07070416,0.02011628,28.134274,26.630082,11.305,8.9344
2,102,0.04410700,0.01921378,0.03192547,0.10423756,0.02623911,28.487098,25.793556,11.353,8.9842
2,103,0.04304064,0.01760305,0.03293034,0.09467193,0.02639992,27.758276,25.783746,11.486,8.9673
2,104,0.03930500,0.01581635,0.03159676,0.08238707,0.02166141,27.618458,25.917795,11.659,8.9201
2,105,0.04197019,0.01781463,0.03173757,0.09478056,0.02385287,27.913595,25.613822,11.708,8.9680
2,106,0.05938913,0.02240463,0.05088708,0.11450909,0.03151548,23.127835,22.281133,11.757,9.0156
2,107,0.05026533,0.01872510,0.04412127,0.09538937,0.02480814,23.542755,22.802737,11.890,8.9989
2,108,0.05790661,0.02484033,0.04313131,0.13351026,0.03314488,25.789171,23.619443,12.056,8.9580
2,109,0.05703164,0.02110454,0.04919682,0.10794969,0.03131693,23.600680,22.775042,12.098,9.0098
2,110,0.05381513,0.02260051,0.04008005,0.12048353,0.03358869,26.247983,24.188857,12.147,9.0556
