frame,mse,mae,max_abs,psnr_db,temporal_mse,temporal_mae,temporal_max_abs,temporal_psnr_db
0,0.0011300555197522044,0.022490888833999634,0.36083984375,29.469002190566698,,,,
1,0.001082339440472424,0.021949786692857742,0.3341064453125,29.656365155645652,0.002188539830967784,0.03232365846633911,0.429443359375,32.61905536238047
2,0.0009470744407735765,0.020165270194411278,0.3095703125,30.236158837774987,0.0020126490853726864,0.031166071072220802,0.40234375,32.982919310798124
3,0.0008972468203864992,0.019069353118538857,0.315673828125,30.47088072020685,0.0018314776243641973,0.029312370344996452,0.413330078125,33.392583741829924
4,0.0010294204112142324,0.020287225022912025,0.375732421875,29.874072248658884,0.0019131593871861696,0.029547983780503273,0.44775390625,33.2030883829391
5,0.0010367740178480744,0.02030433900654316,0.311279296875,29.843158950060808,0.002059287391602993,0.030451226979494095,0.432373046875,32.88343030879152
6,0.0010367740178480744,0.02030433900654316,0.311279296875,29.843158950060808,0.0,0.0,0.0,inf
7,0.0010294204112142324,0.020287225022912025,0.375732421875,29.874072248658884,0.002059287391602993,0.030451226979494095,0.432373046875,32.88343030879152
8,0.0008972468203864992,0.019069353118538857,0.315673828125,30.47088072020685,0.0019131593871861696,0.029547983780503273,0.44775390625,33.2030883829391
9,0.0009470744407735765,0.020165270194411278,0.3095703125,30.236158837774987,0.0018314776243641973,0.029312370344996452,0.413330078125,33.392583741829924
10,0.001082339440472424,0.021949786692857742,0.3341064453125,29.656365155645652,0.0020126490853726864,0.031166071072220802,0.40234375,32.982919310798124
11,0.0011300555197522044,0.022490888833999634,0.36083984375,29.469002190566698,0.002188539830967784,0.03232365846633911,0.429443359375,32.61905536238047
